user,label,risk_score,risk_category,alert_priority
DGM0754,0,0.0,Low Risk,
DGN0480,0,0.002,Low Risk,Normal
DGW0752,0,0.0,Low Risk,
DHM0937,0,0.0,Low Risk,
DIB0081,0,0.24673431690057263,Low Risk,Normal
DIB0285,1,0.8846865052997775,High Risk,Critical
DIC0988,0,0.0,Low Risk,
DID0650,0,0.0,Low Risk,
DIW0118,0,0.002,Low Risk,Normal
DJB0159,0,0.0,Low Risk,
DJS0682,0,0.0,Low Risk,
DKB0631,0,0.0,Low Risk,
DLF0377,0,0.0,Low Risk,
DLH0029,0,0.0,Low Risk,
DLM0051,0,0.0,Low Risk,
DLS0383,0,0.0,Low Risk,
DMG0358,0,0.0,Low Risk,
DMK0257,0,0.003537190082644628,Low Risk,Normal
DMM0623,0,0.0,Low Risk,
DOL0332,0,0.0,Low Risk,
DOP0562,0,0.0,Low Risk,
DPM0423,0,0.007256015807436681,Low Risk,Normal
DPS0262,0,0.002,Low Risk,Normal
DRR0162,1,0.9743524624527775,High Risk,Critical
DRR0242,0,0.0,Low Risk,
DSB0731,0,0.0,Low Risk,
DSM0591,0,0.0,Low Risk,
DTP0379,0,0.0,Low Risk,
DTT0076,0,0.0,Low Risk,
DVM0265,0,0.0,Low Risk,
DVW0103,0,0.0,Low Risk,
DZC0228,0,0.0,Low Risk,
EAH0466,0,0.12630695317760327,Low Risk,Normal
EBC0390,0,0.0,Low Risk,
ECF0828,0,0.0,Low Risk,
ECL0930,0,0.0,Low Risk,
ECR0822,0,0.0,Low Risk,
EDA0684,0,0.0,Low Risk,
EDB0714,1,0.8446524216724779,High Risk,Critical
EFS0882,0,0.0,Low Risk,
EGD0132,1,0.8629166528752343,High Risk,Critical
EGD0409,0,0.0,Low Risk,
EGK0893,0,0.003488239033693579,Low Risk,Normal
EHB0420,0,0.0,Low Risk,
EHB0824,1,0.8866666218051482,High Risk,Critical
EHD0584,1,0.8841945650434736,High Risk,Critical
EHR0096,0,0.0,Low Risk,
EIM0156,0,0.0,Low Risk,
EIP0997,0,0.0,Low Risk,
EIS0041,0,0.17936400629913357,Low Risk,Normal
EJW0884,0,0.0,Low Risk,
ELB0847,0,0.0,Low Risk,
ELH0960,0,0.0,Low Risk,
ELT0769,0,0.0,Low Risk,
EMB0531,0,0.0,Low Risk,
EMS0317,0,0.0,Low Risk,
EMW0105,0,0.0,Low Risk,
EMW0772,0,0.16017625969654936,Low Risk,Normal
ENC0234,0,0.0,Low Risk,
ENL0100,0,0.0,Low Risk,
EPW0434,0,0.0,Low Risk,
ERH0449,0,0.0,Low Risk,
ESA0642,0,0.0,Low Risk,
ESH0135,0,0.0,Low Risk,
ESH0283,0,0.0474096597272369,Low Risk,Normal
ESJ0670,0,0.029190406537093542,Low Risk,Normal
ESR0693,0,0.3104888728555411,Low Risk,Watch
ETR0177,0,0.0,Low Risk,
ETR0428,0,0.0,Low Risk,
EWH0191,0,0.0,Low Risk,
EZH0736,0,0.0,Low Risk,
EZT0640,0,0.0,Low Risk,
FAW0032,0,0.0,Low Risk,
FBA0348,0,0.0,Low Risk,
FBW0747,0,0.0,Low Risk,
FDE0117,0,0.0,Low Risk,
FEB0306,0,0.06727944038133056,Low Risk,Normal
FFC0891,0,0.1520717954497379,Low Risk,Normal
FGW0853,0,0.0,Low Risk,
FHO0630,0,0.0,Low Risk,
FHS0837,0,0.0,Low Risk,
FIR0920,0,0.0,Low Risk,
FKB0163,0,0.0,Low Risk,
FKK0055,0,0.02782021079096716,Low Risk,Normal
FLM0213,0,0.0,Low Risk,
FMG0527,1,0.9566945314204754,High Risk,Critical
FOB0756,0,0.045556553637002555,Low Risk,Normal
FPC0954,0,0.0,Low Risk,
FQA0854,0,0.0,Low Risk,
FRB0023,0,0.0,Low Risk,
FRL0511,0,0.0,Low Risk,
FRR0832,0,0.0,Low Risk,
FSB0399,0,0.0,Low Risk,
FSC0601,1,0.8112147392769242,High Risk,Critical
FTM0406,1,0.995072272166101,High Risk,Critical
FUM0015,0,0.0,Low Risk,
FWM0707,0,0.0017383177570093457,Low Risk,Normal
FXF0957,0,0.0,Low Risk,
GAF0060,0,0.0,Low Risk,
GAF0570,0,0.0,Low Risk,
GBM0603,0,0.002,Low Risk,Normal
GCC0744,0,0.0,Low Risk,
GCC0945,0,0.0,Low Risk,
GCG0951,0,0.0,Low Risk,
GCL0016,0,0.0,Low Risk,
GCR0554,0,0.0,Low Risk,
GCS0518,0,0.0,Low Risk,
GCS0571,0,0.04132537901296691,Low Risk,Normal
GDF0704,0,0.0,Low Risk,
GHH0288,0,0.07821160415654,Low Risk,Normal
GHL0460,1,0.9827375009338863,High Risk,Critical
GJD0298,0,0.0,Low Risk,
GJT0386,0,0.0,Low Risk,
GKO0078,0,0.0018599999999999999,Low Risk,Normal
GLR0975,0,0.0,Low Risk,
GMF0738,0,0.0,Low Risk,
GNS0178,0,0.021890521825912206,Low Risk,Normal
GNZ0953,0,0.0,Low Risk,
GOK0238,0,0.0,Low Risk,
GQF0659,0,0.0,Low Risk,
GQP0743,0,0.0,Low Risk,
GRC0145,0,0.0,Low Risk,
GRM0868,0,0.0,Low Risk,
GTD0116,0,0.0,Low Risk,
GTD0219,1,0.7742918820414606,Medium Risk,Suspicious
GTD0898,0,0.0,Low Risk,
GZB0469,0,0.0,Low Risk,
GZC0735,0,0.011802236983015479,Low Risk,Normal
HAC0282,0,0.0,Low Risk,
HAD0246,0,0.005147909141093038,Low Risk,Normal
HAH0248,0,0.0,Low Risk,
HAH0760,0,0.020412842797680054,Low Risk,Normal
HAM0985,0,0.0,Low Risk,
HAV0121,0,0.0,Low Risk,
HBB0056,0,0.0,Low Risk,
HBO0413,1,0.5131350024856471,Medium Risk,Watch
HCC0344,0,0.0,Low Risk,
HCL0113,0,0.0,Low Risk,
HCL0651,0,0.045922531868687964,Low Risk,Normal
HCM0267,0,0.01549157894736842,Low Risk,Normal
HCS0003,0,0.031928372820001195,Low Risk,Normal
HCV0478,0,0.0,Low Risk,
HCW0419,0,0.0,Low Risk,
HDD0789,0,0.0,Low Risk,
HDD0806,0,0.0,Low Risk,
HDH0928,0,0.06513104541590417,Low Risk,Normal
HDJ0446,0,0.0,Low Risk,
HDL0748,0,0.0,Low Risk,
HDS0367,0,0.1342530590048075,Low Risk,Normal
HFB0347,0,0.14080057738244103,Low Risk,Normal
HGG0240,0,0.0,Low Risk,
HGH0595,0,0.0,Low Risk,
HGN0287,0,0.0,Low Risk,
HIA0414,0,0.0,Low Risk,
HIW0536,0,0.0,Low Risk,
HJA0018,0,0.0,Low Risk,
HJB0742,1,0.7931730424971812,Medium Risk,Suspicious
HJS0072,0,0.2610784857363033,Low Risk,Normal
HKB0418,0,0.0018599999999999999,Low Risk,Normal
HKF0831,0,0.0,Low Risk,
HKI0171,0,0.0,Low Risk,
HKR0628,0,0.0,Low Risk,
HLH0512,0,0.0,Low Risk,
HLM0933,0,0.0,Low Risk,
HMM0108,0,0.1329395926760726,Low Risk,Normal
HMW0713,0,0.0,Low Risk,
HOB0994,0,0.0,Low Risk,
HPH0075,0,0.0,Low Risk,
HPM0986,0,0.0,Low Risk,
HPR0585,0,0.0,Low Risk,
HRB0351,0,0.008986358606560281,Low Risk,Normal
HRD0635,0,0.002,Low Risk,Normal
HRL0540,0,0.0058110489510489515,Low Risk,Normal
HRW0550,0,0.0,Low Risk,
HSB0196,0,0.0,Low Risk,
HSD0457,0,0.0,Low Risk,
HSG0818,0,0.0,Low Risk,
HSP0290,0,0.0,Low Risk,
HTF0641,0,0.0,Low Risk,
HTH0007,0,0.0,Low Risk,
HVB0037,0,0.0,Low Risk,
HVF0067,0,0.02925689967077335,Low Risk,Normal
HWH0646,0,0.0,Low Risk,
HWM0342,0,0.0,Low Risk,
HWW0436,0,0.05170608782657864,Low Risk,Normal
HWY0038,0,0.0018599999999999999,Low Risk,Normal
HXL0968,1,0.968141366831608,High Risk,Critical
IAR0694,0,0.002,Low Risk,Normal
IAT0263,0,0.0,Low Risk,
IBB0359,0,0.11089753635421815,Low Risk,Normal
IBB0696,0,0.08882734700979604,Low Risk,Normal
IBM0671,0,0.015338348786563684,Low Risk,Normal
IBP0883,0,0.0,Low Risk,
IBS0836,0,0.041589244631805876,Low Risk,Normal
ICH0294,0,0.06678626773833915,Low Risk,Normal
ICS0956,0,0.0,Low Risk,
IDO0176,0,0.0,Low Risk,
IEB0153,0,0.0,Low Risk,
IHK0841,0,0.0,Low Risk,
IIA0092,0,0.0,Low Risk,
IIL0513,0,0.0,Low Risk,
IIW0249,0,0.021863000279251362,Low Risk,Normal
IJM0139,0,0.0,Low Risk,
IJM0444,0,0.004847049237574206,Low Risk,Normal
IJM0776,1,0.8678494132214,High Risk,Critical
IJR0825,0,0.0,Low Risk,
IJW0851,0,0.0016315789473684212,Low Risk,Normal
IKP0472,0,0.06190546504457653,Low Risk,Normal
IKR0401,1,0.8996031485168628,High Risk,Critical
ILC0838,0,0.0,Low Risk,
ILH0958,0,0.017451464610156196,Low Risk,Normal
ILJ0526,0,0.05360636419165561,Low Risk,Normal
ILR0304,0,0.0,Low Risk,
IMB0481,0,0.0,Low Risk,
IMG0320,0,0.0,Low Risk,
IMP0530,0,0.0,Low Risk,
IRM0931,0,0.019191038964572835,Low Risk,Normal
IRT0491,0,0.0,Low Risk,
IUB0565,1,0.9827572932203971,High Risk,Critical
IUY0279,0,0.0,Low Risk,
IWM0816,0,0.0,Low Risk,
IYB0918,0,0.0,Low Risk,
JAD0609,0,0.0,Low Risk,
JAJ0849,0,0.0,Low Risk,
JAM0382,0,0.0,Low Risk,
JAV0361,0,0.0,Low Risk,
JBD0616,0,0.001683257918552036,Low Risk,Normal
JBM0350,0,0.0,Low Risk,
JCC0225,0,0.0,Low Risk,
JCG0316,0,0.0,Low Risk,
JCR0172,0,0.0,Low Risk,
JCR0289,0,0.0,Low Risk,
JCR0770,0,0.0,Low Risk,
JCR0921,0,0.0,Low Risk,
JCV0245,0,0.0,Low Risk,
JCW0858,0,0.0,Low Risk,
JDB0169,0,0.009249437980802551,Low Risk,Normal
JDC0030,0,0.0018175895765472315,Low Risk,Normal
JDF0593,0,0.031085831133958304,Low Risk,Normal
JER0404,0,0.0,Low Risk,
JFC0557,0,0.003397190082644628,Low Risk,Normal
JFC0757,0,0.0,Low Risk,
JGM0934,0,0.0,Low Risk,
JGT0221,1,0.949471234949157,High Risk,Critical
JHP0583,0,0.08247232995024499,Low Risk,Normal
JIG0128,0,0.0,Low Risk,
JIM0095,0,0.0,Low Risk,
JJB0127,0,0.0,Low Risk,
JJB0700,0,0.0,Low Risk,
JJH0292,0,0.0,Low Risk,
JJH0613,0,0.00979911723916489,Low Risk,Normal
JJM0203,1,0.8878853759923,High Risk,Critical
JKB0126,0,0.0,Low Risk,
JKF0465,0,0.0,Low Risk,
JKJ0698,0,0.0,Low Risk,
JKM0303,0,0.0,Low Risk,
JLM0364,1,0.8490890479921847,High Risk,Critical
JLW0053,0,0.0,Low Risk,
JMB0308,1,0.9906867812700417,High Risk,Critical
JMC0925,0,0.002,Low Risk,Normal
JMD0520,0,0.016188653947711722,Low Risk,Normal
JMH0543,0,0.0,Low Risk,
JMK0099,0,0.005624802803729489,Low Risk,Normal
JML0909,0,0.0,Low Risk,
JMW0638,0,0.0,Low Risk,
JNA0559,0,0.0,Low Risk,
JNJ0556,0,0.013738510090945323,Low Risk,Normal
JOL0024,0,0.0017383177570093457,Low Risk,Normal
JOM0750,0,0.0,Low Risk,
JPA0667,0,0.002,Low Risk,Normal
JPW0741,0,0.0,Low Risk,
JRF0835,0,0.0,Low Risk,
JRG0207,1,0.9326836946990816,High Risk,Critical
JRH0455,0,0.0,Low Risk,
JRL0574,0,0.0,Low Risk,
JRS0362,0,0.0018599999999999999,Low Risk,Normal
JSA0775,0,0.0,Low Risk,
JSH0330,0,0.0,Low Risk,
JTM0223,1,0.9466029865459973,High Risk,Critical
JTS0389,0,0.19368426488653748,Low Risk,Normal
JXH0493,0,0.0,Low Risk,
JZD0888,0,0.0,Low Risk,
KAC0124,0,0.0,Low Risk,
KAL0395,0,0.0,Low Risk,
KAT0270,0,0.0,Low Risk,
KAT0489,0,0.0,Low Risk,
KBB0189,0,0.0,Low Risk,
KBC0054,0,0.0,Low Risk,
KBG0549,0,0.044570563531136954,Low Risk,Normal
KBL0260,0,0.0,Low Risk,
KBP0008,0,0.0,Low Risk,
KBS0874,0,0.0,Low Risk,
KCB0815,0,0.0,Low Risk,
KCF0045,0,0.0,Low Risk,
KCO0122,0,0.005514142610540027,Low Risk,Normal
KCS0173,0,0.01675144158955522,Low Risk,Normal
KDS0349,0,0.0,Low Risk,
KDT0346,0,0.001537190082644628,Low Risk,Normal
KES0729,0,0.0,Low Risk,
KJA0152,0,0.0,Low Risk,
KJG0910,0,0.0,Low Risk,
KJJ0293,0,0.12016082117057496,Low Risk,Normal
KJM0887,0,0.0,Low Risk,
KJP0371,0,0.0,Low Risk,
KJS0618,0,0.0,Low Risk,
KJW0416,0,0.0017383177570093457,Low Risk,Normal
KKC0683,0,0.0,Low Risk,
KKS0119,0,0.0,Low Risk,
KKW0879,0,0.00904882672882673,Low Risk,Normal
KLH0596,1,0.8775770222981073,High Risk,Critical
KLM0639,0,0.0,Low Risk,
KMB0922,0,0.050135268418645,Low Risk,Normal
KMS0657,0,0.0,Low Risk,
KMW0545,0,0.042555573626328606,Low Risk,Normal
KNB0022,0,0.0,Low Risk,
KNG0672,0,0.0,Low Risk,
KNW0644,0,0.0,Low Risk,
KPC0073,1,0.8566818815980068,High Risk,Critical
KPP0452,0,0.0,Low Risk,
KPR0497,0,0.0,Low Risk,
KQC0708,0,0.0,Low Risk,
KQS0415,0,0.0,Low Risk,
KRG0158,0,0.0,Low Risk,
KRL0062,0,0.0,Low Risk,
KRL0501,1,0.8680823717964864,High Risk,Critical
KRM0541,0,0.0,Low Risk,
KRV0372,0,0.0,Low Risk,
KSH0569,0,0.0,Low Risk,
KSP0357,0,0.002,Low Risk,Normal
KSP0966,0,0.0,Low Risk,
KTG0091,0,0.0,Low Risk,
KVS0425,0,0.0,Low Risk,
KVT0028,0,0.0,Low Risk,
KWC0004,0,0.0,Low Risk,
KWE0082,0,0.00543184840425532,Low Risk,Normal
LAF0991,0,0.0,Low Risk,
LAM0911,0,0.0,Low Risk,
LAP0338,0,0.0,Low Risk,
LBC0356,0,0.0,Low Risk,
LBF0214,0,0.01943147697241354,Low Risk,Normal
LBH0942,0,0.005890521825912204,Low Risk,Normal
LCB0664,0,0.006921035696329813,Low Risk,Normal
LCC0819,1,0.9492656351609794,High Risk,Critical
LCD0622,0,0.0,Low Risk,
LDB0090,0,0.0,Low Risk,
LDD0560,0,0.0,Low Risk,
LDG0459,0,0.037203807430152384,Low Risk,Normal
LDM0587,0,0.0,Low Risk,
LEM0605,0,0.0,Low Risk,
LFS0071,0,0.0,Low Risk,
LHB0606,0,0.0,Low Risk,
LHB0967,0,0.0,Low Risk,
LHL0309,0,0.0,Low Risk,
LHN0151,0,0.0,Low Risk,
LIM0674,0,0.029851815994563168,Low Risk,Normal
LJB0826,0,0.0,Low Risk,
LJJ0905,0,0.0,Low Risk,
LJR0523,1,0.9706317032363936,High Risk,Critical
LJT0817,0,0.003491578947368421,Low Risk,Normal
LLV0602,0,0.0,Low Risk,
LMF0980,0,0.0,Low Risk,
LNR0656,0,0.002,Low Risk,Normal
LNS0989,0,0.0,Low Risk,
LOF0311,0,0.0,Low Risk,
LOM0086,0,0.33127376854751805,Low Risk,Watch
LPC0492,0,0.0,Low Risk,
LPH0572,0,0.0,Low Risk,
LQC0479,1,0.9651700214827866,High Risk,Critical
LQP0508,0,0.0,Low Risk,
LRR0148,0,0.009046651497914298,Low Risk,Normal
LRW0970,0,0.0,Low Risk,
LTS0860,0,0.0,Low Risk,
LUR0896,0,0.0,Low Risk,
MAD0496,0,0.0,Low Risk,
MAD0753,0,0.0,Low Risk,
MAE0331,0,0.0,Low Risk,
MAH0149,0,0.0,Low Risk,
MAH0864,0,0.0,Low Risk,
MAR0955,1,0.9186163192779552,High Risk,Critical
MAS0025,1,0.9861237929420088,High Risk,Critical
MAW0166,0,0.0,Low Risk,
MBG0438,0,0.0,Low Risk,
MBJ0312,0,0.011609165234509358,Low Risk,Normal
MBR0724,0,0.0,Low Risk,
MBW0809,0,0.002,Low Risk,Normal
MCD0125,0,0.2830717397451354,Low Risk,Normal
MCF0327,0,0.0,Low Risk,
MCF0600,1,0.806254459917709,High Risk,Critical
MCJ0324,0,0.0,Low Risk,
MCS0035,0,0.0,Low Risk,
MCT0720,0,0.0,Low Risk,
MDH0580,1,0.9181460546150558,High Risk,Critical
MDH0686,0,0.0,Low Risk,
MDM0625,0,0.01351631298080255,Low Risk,Normal
MDM0976,0,0.0,Low Risk,
MES0407,0,0.0,Low Risk,
MFV0897,0,0.0,Low Risk,
MGS0974,0,0.015841118534751755,Low Risk,Normal
MHA0798,0,0.0,Low Risk,
MHG0244,0,0.0,Low Risk,
MHG0733,0,0.0,Low Risk,
MHH0180,0,0.0,Low Risk,
MIB0904,0,0.0,Low Risk,
MIC0726,0,0.0,Low Risk,
