user,prediction_date,incident_date,lead_days
AKR0057,2010-10-04 08:48:26,2010-11-29 18:48:10,56
CCL0068,2010-12-27 09:20:16,2011-02-21 08:25:17,55
CEJ0109,2011-02-07 11:16:58,2011-04-01 17:23:43,53
CQW0652,2011-02-18 09:22:22,2011-04-14 20:58:56,55
DIB0285,2010-07-26 16:23:45,2010-09-13 17:13:29,49
DRR0162,2010-11-11 07:01:17,2011-01-04 15:43:53,54
EDB0714,2010-10-18 10:58:12,2010-12-14 14:17:02,57
EGD0132,2010-08-02 10:01:20,2010-09-28 17:24:42,57
FSC0601,2011-01-18 08:42:08,2011-03-17 16:45:04,58
HBO0413,2011-02-14 08:15:24,2011-04-08 15:25:10,53
HXL0968,2010-08-31 07:51:41,2010-10-28 16:06:01,58
IJM0776,2010-07-06 08:33:06,2010-09-01 14:10:31,57
IKR0401,2010-12-27 08:57:14,2011-02-17 18:21:57,52
IUB0565,2010-10-06 09:20:43,2010-11-30 17:49:20,55
JJM0203,2010-09-02 07:40:34,2010-10-19 17:04:21,47
KRL0501,2010-11-22 09:38:30,2011-01-19 17:06:28,58
LCC0819,2010-06-16 11:39:58,2010-08-10 18:31:17,55
MDH0580,2011-01-04 09:13:35,2011-03-03 11:40:25,58
MOS0047,2010-07-15 07:23:37,2010-09-10 19:34:22,57
NWT0098,2011-02-07 16:40:17,2011-04-05 14:00:24,56
PNL0301,2010-06-14 09:25:31,2010-08-03 16:54:30,50
PSF0133,2010-08-02 10:46:58,2010-09-29 16:23:30,58
RAR0725,2010-07-06 08:07:33,2010-08-19 09:58:36,44
RHL0992,2010-07-13 09:46:08,2010-09-09 20:45:13,58
RMW0542,2010-06-21 09:04:43,2010-08-18 17:37:38,58
TNM0961,2010-10-15 07:04:48,2010-12-09 16:05:04,55
VSS0154,2010-09-07 09:49:28,2010-10-29 16:40:54,52
XHW0498,2010-08-09 12:48:49,2010-10-06 16:05:32,58
BBS0039,2010-08-12 10:24:05,2010-08-13 19:08:58,1
BSS0369,2010-09-30 13:31:56,2010-10-01 19:48:03,1
CCA0046,2010-10-14 08:23:18,2010-10-15 20:01:27,1
CSC0217,2010-06-10 07:54:10,2010-06-11 17:42:48,1
GTD0219,2010-06-17 09:06:37,2010-06-18 17:50:42,1
JGT0221,2010-07-15 09:43:23,2010-07-16 19:33:29,1
JLM0364,2011-04-28 09:50:07,2011-04-29 20:04:27,1
JTM0223,2010-07-22 07:27:46,2010-07-23 18:01:20,1
MPM0220,2010-11-04 08:59:55,2010-11-05 19:29:06,1
MSO0222,2010-12-09 08:36:36,2010-12-10 17:39:36,1
JTC1885,2010-12-03 06:05:31,2010-12-08 23:35:42,5
LBE0376,2010-12-20 09:07:32,2011-02-17 14:34:56,59
BGC0686,2010-11-11 10:21:45,2010-11-15 08:19:00,3
JAK0783,2010-07-29 08:12:18,2010-09-22 17:18:46,55
ALT1465,2010-08-13 22:16:10,2010-08-20 04:01:32,6
ALW0764,2011-02-03 07:09:09,2011-02-05 06:12:51,1
AYG1697,2010-10-25 23:19:22,2010-10-26 00:06:28,0
DAS1320,2010-07-09 01:14:15,2010-07-15 01:38:58,6
DNJ0740,2010-10-04 19:56:42,2010-10-05 01:01:37,0
ELT1370,2011-02-03 18:23:53,2011-02-10 02:58:28,6
EPG1196,2010-07-15 03:00:42,2010-07-20 00:19:48,4
ETW0002,2011-03-17 00:59:27,2011-03-17 06:52:18,0
FZG0389,2010-12-10 21:50:34,2010-12-17 06:53:00,6
GFM1815,2010-07-16 22:00:57,2010-07-16 23:01:54,0
IHC0561,2010-09-02 06:10:00,2010-09-10 08:28:40,8
ISW0738,2010-10-27 21:38:38,2010-11-03 07:01:27,6
JKB0287,2010-09-09 02:50:22,2010-09-15 02:29:40,5
JUP1472,2011-02-11 22:17:37,2011-02-19 04:15:38,7
KBC1390,2010-07-16 02:18:07,2010-07-22 00:50:53,5
KEW0198,2010-07-07 18:50:50,2010-07-14 06:27:14,6
MIB0203,2010-10-13 23:51:44,2010-10-19 02:45:24,5
NIV1608,2011-02-05 01:22:24,2011-02-12 06:15:24,7
PBC0077,2010-07-22 02:04:28,2010-07-31 02:28:03,9
PTH0005,2011-01-31 22:25:29,2011-02-04 05:42:33,3
REF1924,2010-10-14 19:08:01,2010-10-19 22:24:04,5
SAF1942,2010-07-21 00:37:49,2010-07-23 02:12:05,2
SLL0193,2010-08-27 18:57:31,2010-09-03 00:24:08,6
TMC0934,2011-02-17 06:53:38,2011-02-22 21:01:13,5
VAH1292,2011-04-29 22:01:07,2011-05-07 04:04:19,7
WHB1247,2011-02-14 21:50:42,2011-02-19 01:07:48,4
WSK1857,2011-03-04 00:09:34,2011-03-11 06:52:02,7
WWW0701,2011-03-23 06:54:24,2011-03-30 05:40:52,6
ZKP0542,2011-01-12 20:00:15,2011-01-15 04:17:00,2
VCF1602,2010-06-23 15:32:14,2010-08-11 18:01:01,49
KSS1005,2010-08-18 12:53:32,2010-10-13 14:43:02,56
MCP0611,2010-08-09 07:47:22,2010-10-06 15:10:26,58
TNB1616,2010-07-15 10:12:25,2010-09-02 18:33:59,49
ZIE0741,2010-06-29 13:16:09,2010-08-27 18:13:31,59
HXP0976,2010-10-22 08:09:54,2010-12-17 14:41:46,56
HIS1394,2010-11-01 08:22:03,2010-12-22 17:17:44,51
JAL0811,2010-12-30 09:36:38,2011-02-24 12:41:35,56
ITA0159,2010-12-20 09:49:46,2011-02-14 14:59:39,56
CIF1430,2010-07-26 10:30:46,2010-09-23 15:19:33,59
RRS0056,2010-10-14 09:28:28,2010-12-09 11:31:54,56
MDS0680,2010-07-20 08:10:25,2010-09-13 16:24:07,55
TMT0851,2011-03-14 09:24:11,2011-05-11 19:07:42,58
OSS1463,2010-07-26 13:51:04,2010-09-21 15:11:58,57
HSN0675,2011-03-03 08:32:39,2011-04-27 16:45:00,55
WDT1634,2010-07-23 15:13:52,2010-09-10 16:28:36,49
OKM1092,2011-03-02 10:29:29,2011-04-20 19:03:28,49
CKP0630,2010-06-28 08:13:30,2010-08-13 12:59:03,46
ICB1354,2010-10-18 08:23:16,2010-12-07 14:35:43,50
TRC1838,2010-07-19 08:49:42,2010-09-15 15:28:52,58
NAH1366,2010-09-20 07:37:44,2010-11-17 15:11:31,58
BYO1846,2010-10-18 09:13:46,2010-12-15 14:49:13,58
GWG0497,2010-08-19 13:43:14,2010-10-07 17:05:45,49
MGB1235,2010-11-29 07:58:01,2011-01-13 17:14:00,45
CHP1711,2010-08-16 14:33:04,2010-10-05 17:31:06,50
SNK1280,2010-12-14 08:34:44,2011-01-31 16:01:04,48
LVF1626,2010-11-18 10:09:46,2011-01-12 18:34:32,55
HMS1658,2010-11-02 14:12:34,2010-12-27 16:55:07,55
DCC1119,2010-11-29 08:22:41,2011-01-11 13:56:52,43
SIS0042,2010-07-06 12:22:38,2010-08-19 08:55:23,43
ACA1126,2010-12-02 08:44:43,2010-12-03 18:13:56,1
CRD0272,2010-07-15 10:53:12,2010-07-16 20:42:28,1
CWW1120,2011-05-12 07:49:54,2011-05-13 20:12:30,1
ELM1123,2010-10-14 09:22:38,2010-10-15 19:09:55,1
GKW0043,2010-11-04 09:33:45,2010-11-05 18:57:06,1
KCM0466,2011-02-10 09:43:58,2011-02-11 18:28:22,1
LAH0463,2011-05-05 09:24:47,2011-05-06 18:52:11,1
MPF0690,2010-06-17 10:00:38,2010-06-18 20:22:06,1
VRP0267,2010-08-05 09:19:01,2010-08-06 20:15:06,1
ZEH0685,2011-03-31 08:08:27,2011-04-01 21:25:08,1
ACM1770,2011-03-17 17:18:29,2011-05-19 08:48:32,62
AMC1883,2011-01-14 08:11:09,2011-03-08 08:33:48,53
ASH0298,2011-01-25 17:50:14,2011-03-29 11:01:07,62
ASH0458,2011-02-25 07:40:32,2011-05-06 13:00:22,70
BDP0096,2010-11-15 14:13:11,2011-02-07 08:19:45,83
CBW1826,2010-10-14 16:43:44,2011-03-23 13:33:50,159
CGF1056,2011-03-11 07:55:15,2011-04-27 11:51:13,47
CPD1525,2011-01-31 07:24:40,2011-04-04 18:29:18,63
DIM0330,2010-09-09 16:25:08,2010-12-01 15:44:25,82
DKG0161,2011-01-19 10:09:28,2011-04-07 07:51:45,77
DQM0809,2010-11-18 07:46:22,2011-02-01 11:49:23,75
GCD0194,2011-02-03 13:09:37,2011-03-07 08:51:56,31
GMB0400,2011-02-16 08:04:07,2011-04-15 14:00:47,58
HBP1076,2011-02-09 12:30:26,2011-04-25 08:19:54,74
IRH1224,2011-02-05 16:16:06,2011-04-05 18:26:12,59
JCC0016,2010-11-02 07:20:04,2011-03-22 18:23:29,140
JIG1593,2011-01-07 07:25:29,2011-03-29 08:08:45,81
JMM0613,2011-01-12 07:48:22,2011-03-23 08:53:52,70
JNR1592,2011-02-21 08:38:46,2011-04-26 07:40:02,63
KDC0996,2010-12-21 17:58:43,2011-02-22 18:22:37,63
MJR0711,2010-08-11 10:48:54,2010-10-28 17:51:05,78
MTP1582,2010-12-21 19:21:12,2011-03-17 07:52:55,85
NKM1738,2011-02-23 18:57:09,2011-05-04 18:07:15,69
NKN1405,2010-11-01 17:32:06,2010-12-30 16:07:35,58
NZL1395,2011-02-02 08:18:04,2011-04-21 16:12:15,78
OFS0030,2010-07-26 07:22:51,2010-10-04 07:41:27,70
OHS0036,2010-04-16 12:32:57,2010-07-09 10:32:40,83
RCG0584,2010-08-03 11:43:07,2010-10-29 08:02:38,86
WCW1013,2010-08-25 08:32:20,2010-11-08 08:52:13,75
WOS1834,2010-12-29 14:11:19,2011-03-14 13:20:06,74
CSF2712,2011-01-06 04:51:28,2011-01-12 01:06:22,5
JPH1910,2011-01-12 11:12:06,2011-02-04 18:03:54,23
HJB0462,2011-05-19 10:10:59,2011-05-19 17:06:30,0
LJO1360,2011-02-23 16:10:23,2011-04-15 08:19:14,50
ADC1257,2010-10-21 08:59:20,2010-10-21 09:02:17,0
ACM2278,2010-08-18 21:47:42,2010-08-24 03:48:51,5
CMP2946,2011-02-07 12:28:06,2011-03-04 12:30:25,25
PLJ1771,2010-08-12 08:09:00,2010-08-12 16:11:39,0
MBG3183,2010-10-12 13:21:59,2010-10-12 13:22:56,0
