user,risk_score,risk_category,alert_priority,severity,Risk Category,Indicator,Observed,Normal Avg,Deviation,SHAP Impact
469,0.9827572932203971,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,494.0,194.84,153.5%,0.061
361,0.9827375009338863,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,22.0,388.44,-94.3%,0.08
361,0.9827375009338863,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,11.0,193.6,-94.3%,0.075
361,0.9827375009338863,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
361,0.9827375009338863,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,11.0,194.84,-94.4%,0.055
361,0.9827375009338863,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,41.0,448.28,-90.9%,0.051
119,0.9770724494970966,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,8.0,388.44,-97.9%,0.075
119,0.9770724494970966,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.072
119,0.9770724494970966,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,4.0,193.6,-97.9%,0.071
119,0.9770724494970966,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,5.0,448.28,-98.9%,0.055
119,0.9770724494970966,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,4.0,194.84,-97.9%,0.053
274,0.9743524624527775,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,512.0,865.95,-40.9%,0.072
274,0.9743524624527775,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
274,0.9743524624527775,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,1116.0,388.44,187.3%,0.07
274,0.9743524624527775,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,557.0,193.6,187.7%,0.064
274,0.9743524624527775,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,559.0,194.84,186.9%,0.06
608,0.9706317032363936,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,12.0,388.44,-96.9%,0.082
608,0.9706317032363936,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,6.0,193.6,-96.9%,0.074
608,0.9706317032363936,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
608,0.9706317032363936,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,6.0,194.84,-96.9%,0.059
608,0.9706317032363936,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,341.0,865.95,-60.6%,0.052
244,0.9698432404828113,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,46.0,388.44,-88.2%,0.078
244,0.9698432404828113,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,23.0,193.6,-88.1%,0.071
244,0.9698432404828113,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
244,0.9698432404828113,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,23.0,194.84,-88.2%,0.055
244,0.9698432404828113,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,588.0,865.95,-32.1%,0.053
437,0.968141366831608,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,932.0,388.44,139.9%,0.071
437,0.968141366831608,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
437,0.968141366831608,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,464.0,193.6,139.7%,0.065
437,0.968141366831608,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,422.0,865.95,-51.3%,0.065
437,0.968141366831608,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,468.0,194.84,140.2%,0.061
618,0.9651700214827866,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,18.0,388.44,-95.4%,0.079
618,0.9651700214827866,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,9.0,193.6,-95.4%,0.073
618,0.9651700214827866,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.071
618,0.9651700214827866,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,9.0,194.84,-95.4%,0.057
618,0.9651700214827866,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,402.0,865.95,-53.6%,0.05
813,0.9646246632553696,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,40.0,388.44,-89.7%,0.078
813,0.9646246632553696,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,20.0,193.6,-89.7%,0.071
813,0.9646246632553696,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.07
813,0.9646246632553696,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,308.0,865.95,-64.4%,0.056
813,0.9646246632553696,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,20.0,194.84,-89.7%,0.054
802,0.9567852917187939,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,12.0,388.44,-96.9%,0.082
802,0.9567852917187939,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,6.0,193.6,-96.9%,0.072
802,0.9567852917187939,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
802,0.9567852917187939,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,6.0,194.84,-96.9%,0.056
802,0.9567852917187939,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,627.0,865.95,-27.6%,0.053
336,0.9566945314204754,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,24.0,388.44,-93.8%,0.081
336,0.9566945314204754,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,12.0,193.6,-93.8%,0.072
336,0.9566945314204754,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
336,0.9566945314204754,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,12.0,194.84,-93.8%,0.058
336,0.9566945314204754,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,548.0,865.95,-36.7%,0.056
172,0.9537122269454975,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,1274.0,388.44,228.0%,0.071
172,0.9537122269454975,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
172,0.9537122269454975,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,636.0,865.95,-26.6%,0.064
172,0.9537122269454975,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,636.0,193.6,228.5%,0.061
172,0.9537122269454975,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,638.0,194.84,227.5%,0.059
792,0.9506822481497981,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
792,0.9506822481497981,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,696.0,388.44,79.2%,0.066
792,0.9506822481497981,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,342.0,865.95,-60.5%,0.066
792,0.9506822481497981,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,348.0,193.6,79.8%,0.058
792,0.9506822481497981,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,348.0,194.84,78.6%,0.053
494,0.949471234949157,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,2.0,3.48,-42.6%,0.093
494,0.949471234949157,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,4.0,388.44,-99.0%,0.079
494,0.949471234949157,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,2.0,193.6,-99.0%,0.074
494,0.949471234949157,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,2.0,194.84,-99.0%,0.058
494,0.949471234949157,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,1.0,448.28,-99.8%,0.053
593,0.9492656351609794,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
593,0.9492656351609794,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,314.0,865.95,-63.7%,0.068
593,0.9492656351609794,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,700.0,388.44,80.2%,0.064
593,0.9492656351609794,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,350.0,193.6,80.8%,0.058
593,0.9492656351609794,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,350.0,194.84,79.6%,0.054
529,0.9466029865459973,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,2.0,3.48,-42.6%,0.093
529,0.9466029865459973,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,4.0,388.44,-99.0%,0.077
529,0.9466029865459973,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,2.0,193.6,-99.0%,0.074
529,0.9466029865459973,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,2.0,194.84,-99.0%,0.055
529,0.9466029865459973,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,1.0,448.28,-99.8%,0.052
136,0.9329454620008716,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,16.0,388.44,-95.9%,0.082
136,0.9329454620008716,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,8.0,193.6,-95.9%,0.075
136,0.9329454620008716,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.065
136,0.9329454620008716,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,8.0,194.84,-95.9%,0.056
136,0.9329454620008716,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,4.0,448.28,-99.1%,0.052
523,0.9326836946990816,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,46.0,388.44,-88.2%,0.079
523,0.9326836946990816,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,23.0,193.6,-88.1%,0.074
523,0.9326836946990816,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
523,0.9326836946990816,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,574.0,865.95,-33.7%,0.062
523,0.9326836946990816,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,23.0,194.84,-88.2%,0.059
897,0.9261120248504822,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,10.0,388.44,-97.4%,0.084
897,0.9261120248504822,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,5.0,193.6,-97.4%,0.075
897,0.9261120248504822,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
897,0.9261120248504822,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,5.0,194.84,-97.4%,0.059
897,0.9261120248504822,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,21.0,448.28,-95.3%,0.05
164,0.9225385136773534,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
164,0.9225385136773534,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,1262.0,388.44,224.9%,0.067
164,0.9225385136773534,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,576.0,865.95,-33.5%,0.065
164,0.9225385136773534,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,629.0,193.6,224.9%,0.06
164,0.9225385136773534,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,633.0,194.84,224.9%,0.058
818,0.922253822406358,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,322.0,865.95,-62.8%,0.069
818,0.922253822406358,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.067
818,0.922253822406358,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,743.0,388.44,91.3%,0.064
818,0.922253822406358,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,370.0,193.6,91.1%,0.062
818,0.922253822406358,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,373.0,194.84,91.4%,0.057
950,0.9197491798108345,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
950,0.9197491798108345,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,427.0,865.95,-50.7%,0.068
950,0.9197491798108345,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,922.0,388.44,137.4%,0.068
950,0.9197491798108345,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,460.0,193.6,137.6%,0.062
950,0.9197491798108345,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,462.0,194.84,137.1%,0.055
629,0.9186163192779552,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,42.0,388.44,-89.2%,0.076
629,0.9186163192779552,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,21.0,193.6,-89.2%,0.069
629,0.9186163192779552,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
629,0.9186163192779552,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,604.0,865.95,-30.2%,0.055
629,0.9186163192779552,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,21.0,194.84,-89.2%,0.054
642,0.9181460546150558,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,592.0,865.95,-31.6%,0.07
642,0.9181460546150558,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
642,0.9181460546150558,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,1257.0,388.44,223.6%,0.065
642,0.9181460546150558,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,626.0,193.6,223.3%,0.057
642,0.9181460546150558,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,631.0,194.84,223.9%,0.057
775,0.9049159131374903,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
775,0.9049159131374903,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,54.0,388.44,-86.1%,0.062
775,0.9049159131374903,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,27.0,193.6,-86.1%,0.056
775,0.9049159131374903,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,588.0,865.95,-32.1%,0.052
775,0.9049159131374903,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,27.0,194.84,-86.1%,0.044
109,0.9042406900809692,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,22.0,388.44,-94.3%,0.079
109,0.9042406900809692,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,11.0,193.6,-94.3%,0.074
109,0.9042406900809692,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.069
109,0.9042406900809692,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,11.0,194.84,-94.4%,0.053
109,0.9042406900809692,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,296.0,865.95,-65.8%,0.052
96,0.901525759381918,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,2.0,3.48,-42.6%,0.091
96,0.901525759381918,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,4.0,388.44,-99.0%,0.075
96,0.901525759381918,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,2.0,193.6,-99.0%,0.071
96,0.901525759381918,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,2.0,194.84,-99.0%,0.056
96,0.901525759381918,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,1.0,448.28,-99.8%,0.051
152,0.9009043229524796,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,25.0,388.44,-93.6%,0.078
152,0.9009043229524796,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,12.0,193.6,-93.8%,0.07
152,0.9009043229524796,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.067
152,0.9009043229524796,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,13.0,194.84,-93.3%,0.057
152,0.9009043229524796,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,42.0,448.28,-90.6%,0.053
683,0.8996842957177568,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,2.0,3.48,-42.6%,0.09
683,0.8996842957177568,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,4.0,388.44,-99.0%,0.078
683,0.8996842957177568,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,2.0,193.6,-99.0%,0.075
683,0.8996842957177568,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,2.0,194.84,-99.0%,0.055
683,0.8996842957177568,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,1.0,448.28,-99.8%,0.051
459,0.8996031485168628,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,1134.0,388.44,191.9%,0.069
459,0.8996031485168628,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,574.0,865.95,-33.7%,0.066
459,0.8996031485168628,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.063
459,0.8996031485168628,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,565.0,193.6,191.8%,0.062
459,0.8996031485168628,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,569.0,194.84,192.0%,0.057
1,0.899583974791508,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,328.0,865.95,-62.1%,0.073
1,0.899583974791508,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.067
1,0.899583974791508,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,688.0,388.44,77.1%,0.06
1,0.899583974791508,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,342.0,193.6,76.7%,0.054
1,0.899583974791508,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,346.0,194.84,77.6%,0.047
222,0.8980998111088714,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,2.0,3.48,-42.6%,0.09
222,0.8980998111088714,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,4.0,388.44,-99.0%,0.077
222,0.8980998111088714,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,2.0,193.6,-99.0%,0.072
222,0.8980998111088714,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,2.0,194.84,-99.0%,0.058
222,0.8980998111088714,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,1.0,448.28,-99.8%,0.053
777,0.8953448411956066,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.066
777,0.8953448411956066,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,813.0,388.44,109.3%,0.064
777,0.8953448411956066,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,380.0,865.95,-56.1%,0.063
777,0.8953448411956066,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,405.0,193.6,109.2%,0.055
777,0.8953448411956066,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,408.0,194.84,109.4%,0.053
40,0.8914737750023307,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,38.0,388.44,-90.2%,0.073
40,0.8914737750023307,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,19.0,193.6,-90.2%,0.07
40,0.8914737750023307,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
40,0.8914737750023307,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,19.0,194.84,-90.2%,0.051
40,0.8914737750023307,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,398.0,865.95,-54.0%,0.05
502,0.8878853759923,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.064
502,0.8878853759923,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,854.0,388.44,119.9%,0.063
502,0.8878853759923,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,428.0,194.84,119.7%,0.057
502,0.8878853759923,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,426.0,193.6,120.0%,0.056
502,0.8878853759923,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,686.0,865.95,-20.8%,0.036
295,0.8866666218051482,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,26.0,388.44,-93.3%,0.078
295,0.8866666218051482,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,13.0,193.6,-93.3%,0.07
295,0.8866666218051482,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.068
295,0.8866666218051482,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,13.0,194.84,-93.3%,0.055
295,0.8866666218051482,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,14.0,448.28,-96.9%,0.048
788,0.8857943411475677,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,8.0,388.44,-97.9%,0.079
788,0.8857943411475677,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,4.0,193.6,-97.9%,0.071
788,0.8857943411475677,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.066
788,0.8857943411475677,High Risk,Critical,Critical,Data Movement Risk,Unusual file copying activity detected,2.0,448.28,-99.6%,0.056
788,0.8857943411475677,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,4.0,194.84,-97.9%,0.055
256,0.8846865052997775,High Risk,Critical,Critical,Access Behaviour Risk,High login activity compared with normal employees,368.0,865.95,-57.5%,0.066
256,0.8846865052997775,High Risk,Critical,Critical,Device Usage Risk,Multiple devices or machines were accessed,1.0,3.48,-71.3%,0.066
256,0.8846865052997775,High Risk,Critical,Critical,Device Usage Risk,Elevated device connection activity detected,779.0,388.44,100.5%,0.064
256,0.8846865052997775,High Risk,Critical,Critical,Device Usage Risk,Frequent device removal activity detected,388.0,193.6,100.4%,0.056
256,0.8846865052997775,High Risk,Critical,Critical,Device Usage Risk,Frequent device connections detected,391.0,194.84,100.7%,0.055
